Tecnica,Metodo,Modelo,Parametros,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas,NÂº de rechazadas,Rechazadas
Chi2,'SelectFdr',RandomForestClassifier(n_estimators=10),{},0.029919147491455078,0.9702380952380952,0.9497354497354498,0.9606299212598425,0.9365079365079365,0,[]
Chi2,'SelectFdr',RandomForestClassifier(n_estimators=50),{},0.012965917587280273,0.966931216931217,0.9715608465608465,0.96,0.9677419354838709,0,[]
Chi2,'SelectFdr',RandomForestClassifier(),{},0.01493215560913086,0.966931216931217,0.966931216931217,0.96,0.96,0,[]
Chi2,'SelectFdr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=150)",{},0.025009870529174805,0.9748677248677249,0.9748677248677249,0.9682539682539683,0.9682539682539683,0,[]
Chi2,'SelectFdr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=250)",{},0.011967658996582031,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,0,[]
Chi2,'SelectFdr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=350)",{},0.011967897415161133,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,0,[]
Chi2,'SelectFdr',DecisionTreeClassifier(),{},0.013973236083984375,0.9206349206349206,0.9484126984126984,0.888888888888889,0.9302325581395349,0,[]
Chi2,'SelectFdr',"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},0.01296544075012207,0.8935185185185185,0.8935185185185185,0.8615384615384615,0.8615384615384615,0,[]
Chi2,'SelectFdr',"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},0.012935400009155273,0.9391534391534391,0.9391534391534391,0.916030534351145,0.916030534351145,0,[]
Chi2,'SelectFdr',"XGBClassifier()",{},0.014440059661865234,0.9794973544973544,0.9794973544973544,0.976,0.976,0,[]
Chi2,'SelectFdr',LogisticRegression(),{},0.016955137252807617,0.9589947089947091,0.9589947089947091,0.9516129032258064,0.9516129032258064,0,[]
Chi2,'SelectFdr',LogisticRegression(max_iter=1000),{},0.011838436126708984,0.966931216931217,0.966931216931217,0.96,0.96,0,[]
Chi2,'SelectFpr',RandomForestClassifier(n_estimators=10),{},0.011968851089477539,0.9543650793650793,0.951058201058201,0.944,0.943089430894309,0,[]
Chi2,'SelectFpr',RandomForestClassifier(n_estimators=50),{},0.014960050582885742,0.966931216931217,0.9589947089947091,0.96,0.9516129032258064,0,[]
Chi2,'SelectFpr',RandomForestClassifier(),{},0.014959335327148438,0.9589947089947091,0.966931216931217,0.9516129032258064,0.96,0,[]
Chi2,'SelectFpr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=150)",{},0.012938976287841797,0.9748677248677249,0.9748677248677249,0.9682539682539683,0.9682539682539683,0,[]
Chi2,'SelectFpr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=250)",{},0.011967658996582031,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,0,[]
Chi2,'SelectFpr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=350)",{},0.012966632843017578,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,0,[]
Chi2,'SelectFpr',DecisionTreeClassifier(),{},0.013494014739990234,0.9563492063492063,0.9517195767195767,0.9384615384615386,0.9312977099236641,0,[]
Chi2,'SelectFpr',"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},0.013486146926879883,0.8935185185185185,0.8935185185185185,0.8615384615384615,0.8615384615384615,0,[]
Chi2,'SelectFpr',"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},0.013962507247924805,0.9391534391534391,0.9391534391534391,0.916030534351145,0.916030534351145,0,[]
Chi2,'SelectFpr',"XGBClassifier()",{},0.015983104705810547,0.9794973544973544,0.9794973544973544,0.976,0.976,0,[]
Chi2,'SelectFpr',LogisticRegression(),{},0.014960050582885742,0.9589947089947091,0.9589947089947091,0.9516129032258064,0.9516129032258064,0,[]
Chi2,'SelectFpr',LogisticRegression(max_iter=1000),{},0.012964725494384766,0.966931216931217,0.966931216931217,0.96,0.96,0,[]
Chi2,'SelectFwe',RandomForestClassifier(n_estimators=10),{},0.011967897415161133,0.9623015873015872,0.9715608465608465,0.9523809523809523,0.9677419354838709,0,[]
Chi2,'SelectFwe',RandomForestClassifier(n_estimators=50),{},0.012943744659423828,0.9589947089947091,0.9589947089947091,0.9516129032258064,0.9516129032258064,0,[]
Chi2,'SelectFwe',RandomForestClassifier(),{},0.012391328811645508,0.9636243386243386,0.966931216931217,0.9593495934959351,0.96,0,[]
Chi2,'SelectFwe',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=150)",{},0.013370275497436523,0.9748677248677249,0.9748677248677249,0.9682539682539683,0.9682539682539683,0,[]
Chi2,'SelectFwe',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=250)",{},0.012966156005859375,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,0,[]
Chi2,'SelectFwe',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=350)",{},0.012966156005859375,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,0,[]
Chi2,'SelectFwe',DecisionTreeClassifier(),{},0.011967182159423828,0.9563492063492063,0.953042328042328,0.9384615384615386,0.9375,0,[]
Chi2,'SelectFwe',"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},0.012964725494384766,0.8935185185185185,0.8935185185185185,0.8615384615384615,0.8615384615384615,0,[]
Chi2,'SelectFwe',"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},0.011967658996582031,0.9391534391534391,0.9391534391534391,0.916030534351145,0.916030534351145,0,[]
Chi2,'SelectFwe',"XGBClassifier()",{},0.013962984085083008,0.9794973544973544,0.9794973544973544,0.976,0.976,0,[]
Chi2,'SelectFwe',LogisticRegression(),{},0.015465974807739258,0.9589947089947091,0.9589947089947091,0.9516129032258064,0.9516129032258064,0,[]
Chi2,'SelectFwe',LogisticRegression(max_iter=1000),{},0.012965917587280273,0.966931216931217,0.966931216931217,0.96,0.96,0,[]
FC,'SelectFdr',RandomForestClassifier(n_estimators=10),{},0.010970354080200195,0.9656084656084656,0.9484126984126984,0.953125,0.9302325581395349,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',RandomForestClassifier(n_estimators=50),{},0.012965202331542969,0.9623015873015872,0.9715608465608465,0.9523809523809523,0.9677419354838709,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',RandomForestClassifier(),{},0.01393890380859375,0.9623015873015872,0.966931216931217,0.9523809523809523,0.96,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=150)",{},0.012809276580810547,0.9748677248677249,0.9748677248677249,0.9682539682539683,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=250)",{},0.011968135833740234,0.9715608465608465,0.9748677248677249,0.9677419354838709,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=350)",{},0.011968374252319336,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',DecisionTreeClassifier(),{},0.010972261428833008,0.9563492063492063,0.960978835978836,0.9384615384615386,0.9457364341085271,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},0.012966632843017578,0.8935185185185185,0.8935185185185185,0.8615384615384615,0.8615384615384615,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},0.01296544075012207,0.9391534391534391,0.9391534391534391,0.916030534351145,0.916030534351145,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',"XGBClassifier()",{},0.015958070755004883,0.9794973544973544,0.9748677248677249,0.976,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',LogisticRegression(),{},0.014960289001464844,0.9589947089947091,0.9556878306878307,0.9516129032258064,0.9508196721311476,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFdr',LogisticRegression(max_iter=1000),{},0.011968851089477539,0.966931216931217,0.9748677248677249,0.96,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',RandomForestClassifier(n_estimators=10),{},0.011967658996582031,0.9543650793650793,0.9874338624338623,0.944,0.9841269841269841,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',RandomForestClassifier(n_estimators=50),{},0.012845277786254883,0.966931216931217,0.9623015873015872,0.96,0.9523809523809523,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',RandomForestClassifier(),{},0.013934850692749023,0.966931216931217,0.966931216931217,0.96,0.96,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=150)",{},0.012938976287841797,0.9748677248677249,0.9748677248677249,0.9682539682539683,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=250)",{},0.010971546173095703,0.9715608465608465,0.9748677248677249,0.9677419354838709,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=350)",{},0.010972023010253906,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',DecisionTreeClassifier(),{},0.011967897415161133,0.9563492063492063,0.9470899470899471,0.9384615384615386,0.9242424242424243,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},0.012964725494384766,0.8935185185185185,0.8935185185185185,0.8615384615384615,0.8615384615384615,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},0.014310121536254883,0.9391534391534391,0.9391534391534391,0.916030534351145,0.916030534351145,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',"XGBClassifier()",{},0.014963626861572266,0.9794973544973544,0.9748677248677249,0.976,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',LogisticRegression(),{},0.014960765838623047,0.9589947089947091,0.9556878306878307,0.9516129032258064,0.9508196721311476,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFpr',LogisticRegression(max_iter=1000),{},0.011967182159423828,0.966931216931217,0.9748677248677249,0.96,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',RandomForestClassifier(n_estimators=10),{},0.010971307754516602,0.9576719576719577,0.9636243386243386,0.9448818897637795,0.9593495934959351,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',RandomForestClassifier(n_estimators=50),{},0.013953685760498047,0.9636243386243386,0.9589947089947091,0.9593495934959351,0.9516129032258064,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',RandomForestClassifier(),{},0.01504373550415039,0.966931216931217,0.966931216931217,0.96,0.96,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=150)",{},0.012937784194946289,0.9748677248677249,0.9748677248677249,0.9682539682539683,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=250)",{},0.010970830917358398,0.9715608465608465,0.9748677248677249,0.9677419354838709,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=350)",{},0.011967897415161133,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',DecisionTreeClassifier(),{},0.012964487075805664,0.960978835978836,0.960978835978836,0.9457364341085271,0.9457364341085271,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},0.011968612670898438,0.8935185185185185,0.8935185185185185,0.8615384615384615,0.8615384615384615,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},0.011703014373779297,0.9391534391534391,0.9391534391534391,0.916030534351145,0.916030534351145,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',"XGBClassifier()",{},0.012965679168701172,0.9794973544973544,0.9748677248677249,0.976,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',LogisticRegression(),{},0.014960527420043945,0.9589947089947091,0.9556878306878307,0.9516129032258064,0.9508196721311476,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
FC,'SelectFwe',LogisticRegression(max_iter=1000),{},0.010970830917358398,0.966931216931217,0.9748677248677249,0.96,0.9682539682539683,4,"['fractal_dimension_mean', 'symmetry_se', 'smoothness_se', 'texture_se']"
